Legajo,Asignatura,Nota,Estado,Nombre,Apellido,Marcas
1231241,"Dibujo I",6,Habilitado,,,
555555555,"Física 3",1223,Desaprobado,,,
123456,"Análisis Matemático C",11,Promocionado,,,
1231717,"Electrotecnia General",6.5,Habilitado,Sofia,Casais,
44336009,"Análisis Matemático C",7,Habilitado,Martín,Weinbaum,
44336009,"Administración de Recursos Humanos",8,Promocionado,Martín,Weinbaum,
123456,"Física Experimental",5,Promocionado,martin,weinbaum,
123456,"Economía Industrial",7,Promocionado,waifasfnasfasf,holaa,
123456|,"Seguridad, Higiene y Medio Ambiente",3,Desaprobado,adsfsad,asrfas,
2001,"Métodos Numéricos",2,Desaprobado,queti,queti,
